omega_m,alpha_qg,q1_proxy_l2,boo_slow_l2,boo_fast_rms,fast_to_slow_ratio
0.285,3e-07,0.005314325596903124,0.005314302791930349,1.0366525294416362e-06,0.0001950683974980829
0.285,5e-07,0.008844006206003889,0.008843968286325875,1.7244960056432243e-06,0.00019499120189173037
0.285,7e-07,0.012363238898718843,0.012363185934251505,2.409767733188294e-06,0.00019491478539621204
0.285,1e-06,0.017622708683782295,0.017622633281441837,3.4329170330796237e-06,0.00019480159282974973
0.285,1.3e-06,0.022859206511955343,0.02285910882452625,4.45044174244825e-06,0.00019469008072935188
0.29,3e-07,0.007306008612131904,0.007305974199350641,1.254569032590928e-06,0.00017171824021802092
0.29,5e-07,0.012151633727055253,0.012151576565310717,2.0850189291689508e-06,0.00017158423172190785
0.29,7e-07,0.016977526156602127,0.016977446397275355,2.91081988100683e-06,0.00017145216146721598
0.29,1e-06,0.024179922226339,0.024179808849149418,4.140975750448491e-06,0.00017125758835740296
0.29,1.3e-06,0.03133932903788141,0.03133918236995444,5.361103672034744e-06,0.00017106712002717657
0.295,3e-07,0.011650208052401622,0.011650144045753883,1.7540844551059082e-06,0.00015056332764787293
0.295,5e-07,0.019350740787387268,0.019350634720097154,2.9070423668794244e-06,0.00015022981979294367
0.295,7e-07,0.02699963554347053,0.026999487889471374,4.0473555774554705e-06,0.00014990490167902826
0.295,1e-06,0.038378620552811354,0.03837841138148613,5.734994780043901e-06,0.00014943283407531382
0.295,1.3e-06,0.04964759859892043,0.04964732891158037,7.396366001966337e-06,0.00014897812559339858
0.3,3e-07,0.029818060047019035,0.029817908274443774,6.12720662340069e-06,0.0002054874730650362
0.3,5e-07,0.049055523353736384,0.04905526360196155,9.78938884768074e-06,0.0001995583782224156
0.3,7e-07,0.06783513906801192,0.06783476899302224,1.3183437558144954e-05,0.00019434631758679478
0.3,1e-06,0.09522958011196747,0.09522904346601482,1.7863944062365888e-05,0.00018758924181298695
0.3,1.3e-06,0.12178855064762262,0.12178784879801258,2.2144434504177816e-05,0.00018182794689891103
