omega_m,alpha_qg,dt,q1_proxy_l2,boo_slow_l2,boo_fast_rms,fast_to_slow_ratio,rel_delta_q1_vs_dt1e-3,rel_delta_boo_slow_vs_dt1e-3,rel_delta_boo_fast_vs_dt1e-3
0.285,3e-07,0.0009,0.005313829351005129,0.005313810864441515,8.851312800010133e-07,0.00016657184506206068,9.337890367194803e-05,9.25667031206653e-05,0.14616397007787324
0.285,3e-07,0.001,0.005314325596903124,0.005314302791930349,1.0366525294416362e-06,0.0001950683974980829,0.0,0.0,0.0
0.285,3e-07,0.0011,0.005313970730589129,0.005313943152546167,1.1954880836597329e-06,0.00022497193691029452,6.677541816448879e-05,6.767386019630726e-05,0.1532196657547629
0.295,7e-07,0.0009,0.0269940918528226,0.026993972162169835,3.4557124348778203e-06,0.00012801792985919397,0.00020532464740146748,0.000204290071134653,0.14618017397014318
0.295,7e-07,0.001,0.02699963554347053,0.026999487889471374,4.0473555774554705e-06,0.00014990490167902826,0.0,0.0,0.0
0.295,7e-07,0.0011,0.02699566993217382,0.026995491415376615,4.667549462789573e-06,0.00017290107414495023,0.0001468764750666489,0.00014802036657582117,0.1532343460593045
0.3,1.3e-06,0.0009,0.12172815691210147,0.12172758766778528,1.8909168213428644e-05,0.00015534003898142414,0.0004958900914741136,0.0004948041271936488,0.1460983928035146
0.3,1.3e-06,0.001,0.12178855064762262,0.12178784879801258,2.2144434504177816e-05,0.00018182794689891103,0.0,0.0,0.0
0.3,1.3e-06,0.0011,0.12174534397321114,0.12174449633267533,2.552166134304201e-05,0.00020963297817834888,0.00035476794971053496,0.0003559670834579882,0.15250905766297765
