omega_m,alpha_qg,dt,method,rel_delta_q1_vs_anchor,rel_delta_boo_slow_vs_anchor,rel_delta_boo_fast_vs_anchor
0.285,3e-07,0.0009,rk4,9.337890367194803e-05,9.25667031206653e-05,0.14616397007787324
0.285,3e-07,0.0009,euler,0.07580164471123678,0.07580245780441576,0.10477735790068952
0.285,3e-07,0.001,rk4,0.0,0.0,0.0
0.285,3e-07,0.001,euler,0.08491613093657481,0.08491604650215055,0.054166071909198865
0.285,3e-07,0.0011,rk4,6.677541816448879e-05,6.767386019630726e-05,0.1532196657547629
0.285,3e-07,0.0011,euler,0.09396830961772065,0.09396721280796576,0.22233001276002864
0.295,7e-07,0.0009,rk4,0.00020532464740146748,0.000204290071134653,0.14618017397014318
0.295,7e-07,0.0009,euler,0.15526836794095247,0.15526933227843934,0.03432367768606019
0.295,7e-07,0.001,rk4,0.0,0.0,0.0
0.295,7e-07,0.001,euler,0.17556267684993232,0.17556235175459714,0.14846612646379986
0.295,7e-07,0.0011,rk4,0.0001468764750666489,0.00014802036657582117,0.1532343460593045
0.295,7e-07,0.0011,euler,0.19602807687135915,0.1960262650941461,0.3454000577616317
0.3,1.3e-06,0.0009,rk4,0.0004958900914741136,0.0004948041271936488,0.1460983928035146
0.3,1.3e-06,0.0009,euler,0.6303021595742359,0.6300675250224665,15.27806388043863
0.3,1.3e-06,0.001,rk4,0.0,0.0,0.0
0.3,1.3e-06,0.001,euler,0.7742993471673818,0.7738811213693408,17.302568255303303
0.3,1.3e-06,0.0011,rk4,0.00035476794971053496,0.0003559670834579882,0.15250905766297765
0.3,1.3e-06,0.0011,euler,0.8552608860290032,0.854765772517929,18.966710206316023
